Initials,Group,TrainingSlope,ChangeTrainVert,ChangeTrainHorz,ChangeUnTrainVert,ChangeUnTrainHorz,PreTrainVert,PreTrainHorz,PreTrainC,PostTrainVert,PostTrainHorz,PostTrainC,PreUnTrainVert,PreUnTrainHorz,PreUnTrainC,PostUnTrainVert,PostUnTrainHorz,PostUnTrainC
LMI,V,9.633553298,NaN,NaN,85.05693656,83.06718566,NaN,NaN,NaN,NaN,NaN,NaN,171.8655303,172.6225712,143.776236,256.9224668,254.9327159,259.9033414
PRS,V,0,NaN,NaN,-80.28045634,-71.08249906,NaN,NaN,NaN,NaN,NaN,NaN,272.1698601,178.270959,158.802093,191.8894037,201.087361,174.5305644
WAS,V,4.175022576,NaN,NaN,16.82632014,7.37938906,NaN,NaN,NaN,NaN,NaN,NaN,211.401923,170.5359123,169.3851865,228.2282432,218.7813121,183.0468567
RT,V,0,32.39062294,29.44647407,35.7492533,-61.60203542,226.343304,191.6992037,153,258.733927,221.1456778,203,252.9617076,194.7985456,160,288.7109609,191.3596722,203
KAM,V,5.130299351,-0.295418682,68.50266102,36.99376216,-40.07655787,206.7807253,135.5602302,135,206.4853066,204.0628912,186,243.0061932,199.2820232,175,279.9999553,202.9296353,210
CA,V,0,0.89594811,0.573836995,30.15712072,69.19538818,177.7456129,201.3164361,172,178.641561,201.8902731,174,174.0978867,166.1978616,148,204.2550074,243.2932749,196
RKS,V,7.526034664,52.46516686,109.9885823,61.66194577,80.65122286,127.1377458,54.74713638,97,179.6029127,164.7357186,163,122.9927487,141.053994,128,184.6546944,203.6439715,163
MJ,V,0,-12.32543933,99.41660885,4.622146549,-34.23613349,134.0088261,159.2786426,139,121.6833868,258.6952514,125,114.0147635,161.4452103,130,118.63691,79.77862998,105
CSL,AV,2.347659393,NaN,NaN,146.3605996,173.6802023,NaN,NaN,NaN,NaN,NaN,NaN,55.66438834,57.26489648,73.08101225,202.024988,229.3445907,143.2427527
LAZ,AV,1.658631727,NaN,NaN,166.8898159,206.7622125,NaN,NaN,NaN,NaN,NaN,NaN,15.79706975,54.42891517,82.72023833,182.6868856,222.5592822,153.7949106
NHG,AV,-0.32867842,NaN,NaN,-14.8897041,112.7433827,NaN,NaN,NaN,NaN,NaN,NaN,191.1405306,326.8472146,206.5876416,176.2508265,303.8839133,180.8313841
SSM,AV,1.377048466,-26.13552514,96.3747497,-29.49892645,-22.03459576,192.8179526,160.6004131,101,166.6824274,256.9751628,239,187.9779974,145.3035138,120.8964886,158.4790709,165.9434016,160.203369
KDB,AV,0.709979195,3.922770221,16.05903134,34.18311375,34.73863709,189.2879037,257.1063223,191,193.2106739,273.1653536,202,181.413444,246.9830263,185,215.5965577,216.1520811,198
ERP,AV,8.566621635,-23.21121989,45.90475993,54.46853033,43.07404502,184.0005551,239.908659,169,160.7893352,285.8134189,163,181.7973233,222.8245001,182,236.2658536,224.8713683,209
JDF,AV,4.929249377,164.0272739,160.2193099,-3.110651944,88.88437935,73.5422283,100.5712661,130,237.5695022,260.790576,180,186.6562196,199.0879621,167,183.5455677,275.540599,179
DNC,AV,5.114778114,4.086174294,48.36695796,-12.10778645,-8.054771294,190.2538978,246.5187548,81,194.3400721,294.8857128,NaN,194.2563028,152.3428039,136,182.1485164,186.2015315,153
KLO,AV,7.240688635,33.84482764,-24.82121475,28.02367382,32.51813037,166.1550909,187.2557699,201,199.9999185,162.4345551,NaN,178.1258338,162.2975994,144,206.1495076,210.6439642,189